,terms
37820,insect bite nonvenomous unspecified head
37821,complex regional pain syndrome unspecified
37822,acute myeloid leukemia multilineage dysplasia relapse
37823,psychoactive abuse psychoactive substance-induced sexual dysfunction
37824,contracture ankle
37825,unspecified color vision deficiencies
37826,unspecified fracture shaft fibula sequela
37827,laceration flexor fascia tendon little finger wrist hand
37828,vitreomacular adhesion unspecified eye
37829,non-follicular diffuse lymphoma unspecified intra-abdominal lymph nodes
37830,driver three-wheeled injured collision railway train railway nontraffic accident sequela
37831, pulmonary embolism
37832,chronic lobular hepatitis
37833,foreign body granuloma skin subcutaneous tissue
37834,hypertrophy bone fibula
37835, history of subarachnoid hemorrhage
37836,superficial frostbite toes
37837,motorcycle driver injured collision nonmotor traffic accident
37838,displaced fracture glenoid cavity scapula unspecified shoulder fracture
37839,specified injury brachial artery
37840,unspecified sprain unspecified elbow sequela
37841,superficial bite knee sequela
37842,person outside injured collision railway train railway nontraffic accident sequela
37843,war operations firearms discharge civilian
37844,displaced segmental fracture shaft radius arm fracture nonunion
37845,social exclusion rejection
37846,nonvenomous toads
37847,skin graft allograft autograft failure
37848,activities disability
37849,submersion being thrown by motion of other powered 
37850,unspecified fracture leg fracture malunion
37851,pemphigus erythematosus
37852,pneumonia methicillin resistant staphylococcus aureus
37853,displaced fracture radial styloid fracture malunion
37854,assault pushing placing victim front
37855,panniculitis affecting regions neck back cervical region
37856,terrorism means public safety official injured
37857,reaction internal fixation device of left ulna 
37858,juvenile osteochondrosis patella knee
37859,nondisplaced comminuted fracture shaft femur fracture iiia iiib iiic malunion
37860,displaced fracture neck radius fracture healing
37861,sickle-cell/hb-c disease splenic sequestration
37862,fall swimming pool striking causing injury sequela
37863,specified deforming dorsopathies thoracic region
37864,Elevated white blood cell count
37865,minor contusion kidney
37866, breath following MI
37867,fracture tibia fracture iiia iiib iiic
37868,unspecified staphylococcus diseases
37869,acute osteomyelitis shoulder
37870,displaced subtrochanteric fracture femur fracture iiia iiib iiic healing
37871,unspecified wound unspecified neck sequela
37872,injury nerves abdomen back pelvis
37873,explosion bicycle tire
37874,endosseous dental implant failure
37875,verbosity circumstantial detail obscuring reason
37876,immersion foot foot
37877,laceration fascia tendon posterior thigh unspecified thigh sequela
37878,displaced transverse fracture shaft unspecified tibia fracture iiia iiib iiic
37879,occupant streetcar injured derailment antecedent collision sequela
37880,bipolar disorder partial remission episode hypomanic
37881,unspecified wound finger damage nail sequela
37882,injury ulnar nerve wrist hand unspecified arm sequela
37883,unspecified maternal infectious parasitic disease pregnancy trimester
37884,theater live place occurrence
37885,ambulatory health services establishments place occurrence
37886,nondisplaced avulsion fracture ilium sequela
37887,pathological fracture disease radius fracture nonunion
37888,superficial bite unspecified thigh
37889,injury digital nerve unspecified thumb sequela
37890,corrosion degree unspecified shoulder sequela
37891,pathological fracture neoplastic disease unspecified femur fracture healing
37892,unspecified petrositis bilateral
37893,panniculitis affecting regions neck back sites spine
37894,specified injury unspecified middle ear
37895,subluxation midcarpal joint unspecified wrist sequela
37896,mast cell activation disorder
37897,pedestrian conveyance injured collision railway train railway nontraffic accident
37898,48yearold female status post liver transplant
37899,unspecified fracture unspecified calcaneus fracture malunion
37900,nondisplaced unspecified condyle fracture femur fracture nonunion
37901,unspecified occupant transport injured collision vehicles traffic accident sequela
37902,specified disorders urethra
37903,major laceration inferior mesenteric artery sequela
37904,unspecified fracture pubis fracture nonunion
37905,osteopathy poliomyelitis unspecified shoulder
37906,forms scoliosis cervical region
37907,injury trochlear nerve sequela
37908,specified fracture pubis fracture nonunion
37909,driver injured collision unspecified vehicles nontraffic accident sequela
37910,pleurodynia
37911,obstructed labor brow presentation fetus
37912,arcuate uterus
37913,loiasis
37914,burn degree forehead cheek sequela
37915,low-tension glaucoma eye stage unspecified
37916,secondary chronic gout sites tophus tophi
37917,laceration blood vessels hip thigh unspecified leg
37918,nail disorders
37919,spontaneous rupture tendons ankle foot
37920,contusion adrenal gland sequela
37921,endomyocardial eosinophilic disease
37922,assault steam hot sequela
37923,military operations destruction aircraft civilian sequela
37924,displaced fracture neck radius fracture iiia iiib iiic healing
37925,displaced fracture distal pole navicular scaphoid bone unspecified wrist fracture nonunion
37926,charcot's joint unspecified shoulder
37927,stress fracture fibula fracture malunion
37928,chronic superficial gastritis bleeding
37929,Mitral stenosis
37930,injuries unspecified eye orbit
37931,displaced fracture neck unspecified metacarpal bone fracture nonunion
37932,exposure sofa fire unspecified burning material sequela
37933,SP central line placement
37934,legal intervention unspecified firearm discharge suspect injured sequela
37935,legal intervention unspecified sharp objects bystander injured
37936,direct infection ankle foot infectious parasitic diseases
37937,infection gastric
37938,cyst bone unspecified hand
37939,anterior displaced fracture sternal clavicle fracture malunion
37940,unspecified zone fracture sacrum sequela
37941,person outside dirt bike motor/cross bike injured nontraffic accident
37942,atherosclerosis unspecified bypass grafts leg ulceration calf
37943,nondisplaced comminuted fracture shaft tibia sequela
37944,obstruction foreign body accidentally body injection immunization sequela
37945,activity personal bathing showering
37946,nondisplaced segmental fracture shaft unspecified fibula fracture healing
37947,uterine scar surgery
37948,activity ironing
37949,abducent nerve palsy eye
37950,unspecified injury plantar artery unspecified foot sequela
37951,sequestration lung
37952,nondisplaced fracture tibial spine fracture iiia iiib iiic healing
37953,injury accident unspecified watercraft sequela
37954,kernicterus unspecified
37955,burn unspecified degree shoulder sequela
37956,person injured collision between bus nontraffic
37957,follicular lymphoma grade iiia extranodal solid organ sites
37958,congenital kyphosis cervical region
37959,nondisplaced comminuted fracture shaft femur fracture malunion
37960,malignant hyperthermia sequela
37961,exostosis orbit
37962, multiple intracranial hemorrhages
37963,noninflammatory disorders testis
37964,drug-induced gout elbow
37965,west nile virus infection complications
37966,contracture unspecified hip
37967,fistula elbow
37968,driver special construction injured traffic accident
37969,person boarding alighting bus injured collision pedal cycle
37970,pathological fracture toes sequela
37971,Bilateral pulmonary infiltrates for follow up
37972,displaced fracture body scapula unspecified shoulder fracture healing
37973,legal intervention unspecified explosives bystander injured
37974,induced diabetes mellitus mild nonproliferative diabetic retinopathy macular edema bilateral
37975,nodular lymphocyte predominant hodgkin lymphoma intrathoracic lymph nodes
37976,nondisplaced fracture base neck femur fracture malunion
37977,asphyxiation assault
37978,nondisplaced fracture anterior acetabulum fracture healing
37979,private fixed-wing aircraft explosion injuring occupant
37980,specified rheumatoid arthritis unspecified elbow
37981,pathological fracture disease hip unspecified sequela
37982,salter-harris physeal fracture unspecified calcaneus fracture malunion
37983,keratoconus unspecified eye
37984,rupture synovium unspecified elbow
37985,effects lightning sequela
37986,postthrombotic syndrome inflammation bilateral extremity
37987,chronic unspecified gastrojejunal ulcer hemorrhage perforation
37988,unspecified wound unspecified wrist sequela
37989,idiopathic gout shoulder
37990,nondisplaced fracture hook hamate unciform bone wrist fracture
37991,displaced fracture olecranon intraarticular extension ulna fracture healing
37992,streptococcal arthritis unspecified joint
37993,staphylococcal arthritis wrist
37994,drug-induced nonautoimmune hemolytic anemia
37995,calcification ossification muscles burns thigh
37996,displaced fracture anterior unspecified calcaneus fracture healing
37997,insect bite nonvenomous finger sequela
37998,person outside pick-up truck van injured collision fixed stationary object traffic accident
37999,foreign body granuloma soft tissue hand
38000,nondisplaced segmental fracture shaft radius arm fracture iiia iiib iiic nonunion
38001,SP gastrectomy
38002,equatorial staphyloma unspecified eye
38003,drowning submersion washed overboard unpowered watercraft
38004,unspecified dislocation unspecified foot sequela
38005,forms blastomycosis
38006,laceration bronchus bilateral
38007,driver special construction injured traffic accident sequela
